 TIME                                    Q_HP                                     P_HP                                     COP_HP                                   T_w_i_HP                                 T_w_o_HP                                 m_w_i_HP                                 T_amb                                    F_Q_in                                   F_Q_out                                  m_w_o_HP                                 CS                                       T_thermostat                            
  +7.0999999999999996E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.9812606555793643E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7614999999999998E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +5.9152830352690202E+01
  +7.1500000000000004E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.8654593212647033E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7625000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +5.8626182185512597E+01
  +7.2000000000000002E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.7612330780098546E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7635000000000005E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +5.8040780261481551E+01
  +7.2500000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.6674129936010054E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7645000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +5.7398511791309772E+01
  +7.2999999999999998E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.5870093014176611E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7655000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +5.6739906301312161E+01
  +7.3499999999999996E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.5217830899638454E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7664999999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +5.6110133023061763E+01
  +7.4000000000000004E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.4691041005599487E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7675000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +5.5524152242736889E+01
  +7.4500000000000002E+00   +1.6901027750205460E+04   +3.2292111857175578E+03   +5.2337944021858052E+00   +2.5317521674467880E+01   +6.3000000000000000E+01   +1.0723847865921778E+02   +2.7685000000000002E+01   +8.9594082645279149E-01   +8.6940106348601420E-01   +1.0729927777888128E+02   +1.0000000000000000E+00   +5.5350859996500780E+01
  +7.5000000000000000E+00   +1.6683827702113107E+04   +3.2612953965422107E+03   +5.1157056774656473E+00   +2.6965109437289183E+01   +6.3000000000000000E+01   +1.1075795843309828E+02   +2.7695000000000000E+01   +8.8442682899242520E-01   +8.4978499625675208E-01   +1.1076322807505106E+02   +1.0000000000000000E+00   +5.5597216013859338E+01
  +7.5499999999999998E+00   +1.6472390448202928E+04   +3.2941462939647754E+03   +5.0005035140568772E+00   +2.8591330569958856E+01   +6.3000000000000000E+01   +1.1452429865486016E+02   +2.7705000000000002E+01   +8.7321832316597381E-01   +8.3064842426193986E-01   +1.1452804203110693E+02   +1.0000000000000000E+00   +5.5899562119563356E+01
  +7.5999999999999996E+00   +1.6265562686799432E+04   +3.3279464330885021E+03   +4.8875673575399246E+00   +3.0186572645965615E+01   +6.3000000000000000E+01   +1.1858328042883051E+02   +2.7715000000000000E+01   +8.6225417126799364E-01   +8.1188826537208048E-01   +1.1858794779478841E+02   +1.0000000000000000E+00   +5.6223217467782447E+01
  +7.6500000000000004E+00   +1.6061290699673560E+04   +3.3630705192524788E+03   +4.7757816172515186E+00   +3.1765740514763948E+01   +6.3000000000000000E+01   +1.2301312560641018E+02   +2.7725000000000001E+01   +8.5142550358744484E-01   +7.9331920552350810E-01   +1.2301901678986538E+02   +1.0000000000000000E+00   +5.6563035096278398E+01
  +7.7000000000000002E+00   +1.5857952790810255E+04   +3.3998843310680618E+03   +4.6642623414897475E+00   +3.3341222821080052E+01   +6.3000000000000000E+01   +1.2790611058557138E+02   +2.7735000000000003E+01   +8.4064635235423324E-01   +7.7479440888534024E-01   +1.2791364228111199E+02   +1.0000000000000000E+00   +5.6914425138035966E+01
  +7.7500000000000000E+00   +1.5654189981377567E+04   +3.4387688832791609E+03   +4.5522656999772160E+00   +3.4923448740661442E+01   +6.3000000000000000E+01   +1.3337609450433425E+02   +2.7745000000000001E+01   +8.2984467670576589E-01   +7.5619031561083327E-01   +1.3338585721445608E+02   +1.0000000000000000E+00   +5.7273298777008726E+01
  +7.7999999999999998E+00   +1.5143239503474810E+04   +3.4415980046047293E+03   +4.4000604193325081E+00   +3.6545467014928356E+01   +6.3000000000000000E+01   +1.3693432415667249E+02   +2.7755000000000003E+01   +8.0275866748700220E-01   +7.3090704640074888E-01   +1.3694355236117789E+02   +1.0000000000000000E+00   +5.7642104108566798E+01
  +7.8499999999999996E+00   +1.4592581597876597E+04   +3.4425578163337595E+03   +4.2388776114039413E+00   +3.8241451734786637E+01   +6.3000000000000000E+01   +1.4099137324538611E+02   +2.7765000000000001E+01   +7.7356772677462871E-01   +7.0413249358869456E-01   +1.4100346844199643E+02   +1.0000000000000000E+00   +5.8021333102287180E+01
  +7.9000000000000004E+00   +1.4013704493461084E+04   +3.4436101617408194E+03   +4.0694804263255620E+00   +4.0022735112220509E+01   +6.3000000000000000E+01   +1.4589105792681607E+02   +2.7775000000000002E+01   +7.4288085737177079E-01   +6.7599342629992731E-01   +1.4590742651945780E+02   +1.0000000000000000E+00   +5.8404144706140791E+01
  +7.9500000000000002E+00   +1.3403146246815762E+04   +3.4447784040980869E+03   +3.8908586649268488E+00   +4.1899838007873726E+01   +6.3000000000000000E+01   +1.5194228996406366E+02   +2.7785000000000004E+01   +7.1051453810516130E-01   +6.4632203736326399E-01   +1.5196502853225218E+02   +1.0000000000000000E+00   +5.8784857341626356E+01
  +8.0000000000000000E+00   +1.2758128906484062E+04   +3.4460908493873571E+03   +3.7022031976153809E+00   +4.3881202650275064E+01   +6.3000000000000000E+01   +1.5961005070040420E+02   +2.7795000000000002E+01   +6.7632150691709403E-01   +6.1498391986966461E-01   +1.5964267578942429E+02   +1.0000000000000000E+00   +5.9158749549259277E+01
  +8.0500000000000007E+00   +1.2109770488877964E+04   +3.4473983607321316E+03   +3.5127272444274036E+00   +4.5869292930692609E+01   +6.3000000000000000E+01   +1.6909835261647197E+02   +2.7807500000000001E+01   +6.4195136179378520E-01   +5.8350950904109700E-01   +1.6911536763465455E+02   +1.0000000000000000E+00   +5.9512629089827662E+01
  +8.0999999999999996E+00   +1.1490732661400976E+04   +3.4485785997733387E+03   +3.3320198406666321E+00   +4.7769090405862009E+01   +6.3000000000000000E+01   +1.8046152019315824E+02   +2.7822500000000005E+01   +6.0913553124475062E-01   +5.5349166788482262E-01   +1.8048627130862670E+02   +1.0000000000000000E+00   +5.9837842092420416E+01
  +8.1500000000000004E+00   +1.0900013647860342E+04   +3.4497034280961097E+03   +3.1596957622834592E+00   +4.9580224721391239E+01   +6.3000000000000000E+01   +1.9427698044513573E+02   +2.7837500000000002E+01   +5.7782091008589598E-01   +5.2486640569492682E-01   +1.9431391342980592E+02   +1.0000000000000000E+00   +6.0138402191344461E+01
  +8.1999999999999993E+00   +1.0337941761756365E+04   +3.4507602624549713E+03   +2.9958445763849229E+00   +5.1301882020283941E+01   +6.3000000000000000E+01   +2.1136015851516535E+02   +2.7852499999999999E+01   +5.4802490255281833E-01   +4.9764860072839256E-01   +2.1141701959836735E+02   +1.0000000000000000E+00   +6.0418681167428595E+01
  +8.2500000000000000E+00   +1.0109154098739313E+04   +3.4506993590023249E+03   +2.9295956274186001E+00   +5.2960283543239228E+01   +6.3000000000000000E+01   +2.4069431127430138E+02   +2.7867500000000003E+01   +5.3589663373300001E-01   +4.8664379193000007E-01   +2.4088786614454560E+02   +1.0000000000000000E+00   +6.0688211033615431E+01
  +8.3000000000000007E+00   +1.0109862295441488E+04   +3.4498600323059691E+03   +2.9305136602013997E+00   +5.4594489367551503E+01   +6.3000000000000000E+01   +2.8769840276012150E+02   +2.7882500000000000E+01   +5.3593417596699999E-01   +4.8679628907000000E-01   +2.8774134756345467E+02   +1.0000000000000000E+00   +6.0960248276345844E+01
  +8.3499999999999996E+00   +1.0110570492143665E+04   +3.4490212313113707E+03   +2.9314316929842001E+00   +5.6210361581251632E+01   +6.3000000000000000E+01   +3.5613439399182539E+02   +2.7897500000000004E+01   +5.3597171820099998E-01   +4.8694878621000004E-01   +3.5624562119469260E+02   +1.0000000000000000E+00   +6.1245697143158665E+01
  +8.4000000000000004E+00   +1.0111278688845839E+04   +3.4481829555247841E+03   +2.9323497257670001E+00   +5.7791663728909782E+01   +6.3000000000000000E+01   +4.6409111466896240E+02   +2.7912500000000001E+01   +5.3600926043499997E-01   +4.8710128335000002E-01   +4.6443678859430139E+02   +1.0000000000000000E+00   +6.1556636111309899E+01
  +8.4499999999999993E+00   +1.0111986885548018E+04   +3.4473452044530836E+03   +2.9332677585497997E+00   +5.9320920545743988E+01   +6.3000000000000000E+01   +6.5722119734806904E+02   +2.7927499999999998E+01   +5.3604680266900007E-01   +4.8725378049000001E-01   +6.5752935541686497E+02   +1.0000000000000000E+00   +6.1910565026714721E+01
  +8.5000000000000000E+00   +1.0112695082250193E+04   +3.4465079776037560E+03   +2.9341857913326002E+00   +6.0799661768352728E+01   +6.3000000000000000E+01   +1.0990599204357559E+03   +2.7942500000000003E+01   +5.3608434490300005E-01   +4.8740627763000005E-01   +1.0994900848880495E+03   +1.0000000000000000E+00   +6.2328571338621060E+01
  +8.5500000000000007E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1273323761055700E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7957500000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2470719815570106E+01
  +8.5999999999999996E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1254203126525127E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7972500000000004E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2460291574730341E+01
  +8.6500000000000004E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1235116055750268E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.7987500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2449870917945852E+01
  +8.6999999999999993E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1216062469769980E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8002499999999998E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2439457842872599E+01
  +8.7500000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1197042289910257E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8017500000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2429052347138438E+01
  +8.8000000000000007E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1178055437782930E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8032499999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2418654428343508E+01
  +8.8499999999999996E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1159101835284531E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8047500000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2408264084060576E+01
  +8.9000000000000004E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1140181404594969E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8062500000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2397881311835455E+01
  +8.9499999999999993E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1121294068176418E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8077500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2387506109187314E+01
  +9.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1102439748771999E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8092500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2377138473609094E+01
  +9.0500000000000007E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1083617619263123E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8105000000000004E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2366778028385042E+01
  +9.0999999999999996E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1064826104213907E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8114999999999998E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2356424023117540E+01
  +9.1500000000000004E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1046064380638704E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8125000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2346076081790244E+01
  +9.1999999999999993E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1027332376449621E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8135000000000005E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2335734202241895E+01
  +9.2500000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1008630019822505E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8145000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2325398382286529E+01
  +9.3000000000000007E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0989957239195789E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8155000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2315068619713784E+01
  +9.3499999999999996E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0971313963269438E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8164999999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2304744912289252E+01
  +9.4000000000000004E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0952700121003730E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8175000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2294427257754762E+01
  +9.4499999999999993E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0934115641618192E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8185000000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2284115653828735E+01
  +9.5000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0915560454590491E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8195000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2273810098206468E+01
  +9.5500000000000007E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0897034489655290E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8205000000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2263510588560436E+01
  +9.5999999999999996E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0878537676803177E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8215000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2253217122540654E+01
  +9.6500000000000004E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0860069946279538E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8225000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2242929697774919E+01
  +9.6999999999999993E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0841631228583509E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8235000000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2232648311869156E+01
  +9.7500000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0823221454466832E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8245000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2222372962404009E+01
  +9.8000000000000007E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0804840554932809E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8255000000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2212103646930892E+01
  +9.8499999999999996E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0786488461235230E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8265000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2201840362971808E+01
  +9.9000000000000004E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0768165104877262E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8275000000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2191583108019771E+01
  +9.9499999999999993E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0749870417610424E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8285000000000004E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2181331879539165E+01
  +1.0000000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0731604331433488E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8295000000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2171086674966205E+01
  +1.0050000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0713369029016086E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8312500000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2160848614257603E+01
  +1.0100000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0695168939060636E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8337500000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2150619938311571E+01
  +1.0150000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0677006233995094E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8362500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2140401764779753E+01
  +1.0199999999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0658880834625919E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8387500000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2130194089647262E+01
  +1.0250000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0640792662035466E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8412500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2119996908873361E+01
  +1.0300000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0622741637580795E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8437500000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2109810218391914E+01
  +1.0350000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0604727682892516E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8462500000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2099634014111771E+01
  +1.0400000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0586750719873649E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8487500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2089468291917143E+01
  +1.0449999999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0568810670698468E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8512500000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2079313047667974E+01
  +1.0500000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0550907457811377E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8537500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2069168277200362E+01
  +1.0550000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0533041003925725E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8562500000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2059033976326916E+01
  +1.0600000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0515211232022764E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8587500000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2048910140837137E+01
  +1.0650000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0497418065350431E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8612500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2038796766497782E+01
  +1.0699999999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0479661427422272E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8637500000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2028693849053234E+01
  +1.0750000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0461941242016323E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8662500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2018601384225903E+01
  +1.0800000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0444257433174002E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8687500000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.2008519367716545E+01
  +1.0850000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0426609925199010E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8712500000000002E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1998447795204619E+01
  +1.0900000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0408998642656201E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8737500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1988386662348702E+01
  +1.0949999999999999E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0391423510370515E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8762500000000003E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1978335964786773E+01
  +1.1000000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0373884453425887E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8787500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1968295698136608E+01
  +1.1050000000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0356379896881052E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8807500000000001E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1958265109630538E+01
  +1.1100000000000000E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0338906768859829E+01   +6.3000000000000000E+01   +0.0000000000000000E+00   +2.8822500000000005E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.1948242699168773E+01
